ply,fullmove,side,clock_in_ms,budget_ms,used_ms,clock_out_ms,depth,nodes,fen
25,22,w,81779.0,4489.0,3816.7,77962.3,12,8634112,3r1rk1/4q1pp/p7/2Nnp2n/3p4/1N3P2/1PP3PP/R2Q1RK1 w - - 2 22
26,22,b,73013.1,4050.7,2207.5,70805.6,11,4816013,3r1rk1/4q1pp/p7/2Nnp2n/3p4/1N3P2/1PP3PP/R3QRK1 b - - 3 22
27,23,w,78462.3,4323.1,2562.6,75899.7,12,5841143,3r1rk1/4q1pp/p7/2N1p2n/3p4/1N2nP2/1PP3PP/R3QRK1 w - - 4 23
28,23,b,71305.6,3965.3,3170.0,68135.6,11,7005181,3r1rk1/4q1pp/p7/2N1p2n/3p4/1N2nP2/1PP2RPP/R3Q1K1 b - - 5 23
29,24,w,76399.7,4220.0,3120.0,73279.7,11,6542018,2r2rk1/4q1pp/p7/2N1p2n/3p4/1N2nP2/1PP2RPP/R3Q1K1 w - - 6 24
30,24,b,68635.6,3831.8,3258.0,65377.6,11,6848768,2r2rk1/4q1pp/R7/2N1p2n/3p4/1N2nP2/1PP2RPP/4Q1K1 b - - 0 24
31,25,w,73779.7,4089.0,3476.6,70303.0,12,7387904,2r2rk1/4q1pp/R7/2N1p3/3p1n2/1N2nP2/1PP2RPP/4Q1K1 w - - 1 25
32,25,b,65877.6,3693.9,2510.1,63367.5,10,5295780,2r2rk1/4q1pp/R7/Q1N1p3/3p1n2/1N2nP2/1PP2RPP/6K1 b - - 2 25
33,26,w,70803.0,3940.2,3350.4,67452.6,11,6837248,2r2rk1/4q1pp/R7/Q1N1p3/3p1n2/1N3P2/1PP2RnP/6K1 w - - 0 26
34,26,b,63867.5,3593.4,3055.1,60812.4,10,6526720,2r2rk1/4q1pp/R7/Q3p3/3p1n2/1N1N1P2/1PP2RnP/6K1 b - - 1 26
35,27,w,67952.6,3797.6,2198.8,65753.9,11,4559174,2r2rk1/4q1pp/R7/Q3p3/3p1n2/1N1NnP2/1PP2R1P/6K1 w - - 2 27
36,27,b,61312.4,3465.6,1997.4,59314.9,10,4369849,2r2rk1/4q1pp/R7/Q3p3/3p1N2/1N2nP2/1PP2R1P/6K1 b - - 0 27
37,28,w,66253.9,3712.7,2469.6,63784.3,10,5004915,2r3k1/4q1pp/R7/Q3p3/3p1r2/1N2nP2/1PP2R1P/6K1 w - - 0 28
38,28,b,59814.9,3390.7,2691.9,57123.1,10,5663321,2r3k1/4q1pp/R7/4p3/3p1r2/1N2nP2/QPP2R1P/6K1 b - - 1 28
39,29,w,64284.3,3614.2,3073.1,61211.1,12,6340352,2r3k1/4qrpp/R7/4p3/3p4/1N2nP2/QPP2R1P/6K1 w - - 2 29
40,29,b,57623.1,3281.2,2789.7,54833.4,12,5656072,2r3k1/4qrpp/2R5/4p3/3p4/1N2nP2/QPP2R1P/6K1 b - - 3 29
41,30,w,61711.1,3485.6,2159.1,59552.1,12,4553389,2r3k1/3q1rpp/2R5/4p3/3p4/1N2nP2/QPP2R1P/6K1 w - - 4 30
42,30,b,55333.4,3166.7,2409.2,52924.2,14,5011766,2R3k1/3q1rpp/8/4p3/3p4/1N2nP2/QPP2R1P/6K1 b - - 0 30
43,31,w,60052.1,3402.6,2128.0,57924.1,13,4464682,2q3k1/5rpp/8/4p3/3p4/1N2nP2/QPP2R1P/6K1 w - - 0 31
44,31,b,53424.2,3071.2,2510.8,50913.4,12,5361093,2q3k1/5rpp/8/4p3/3p4/1NP1nP2/QP3R1P/6K1 b - - 0 31
45,32,w,58424.1,3321.2,1670.7,56753.4,12,3518085,6k1/5rpp/4q3/4p3/3p4/1NP1nP2/QP3R1P/6K1 w - - 1 32
46,32,b,51413.4,2970.7,2304.4,49109.0,14,4873048,Q5k1/5rpp/4q3/4p3/3p4/1NP1nP2/1P3R1P/6K1 b - - 2 32
