ply,depth,nodes,ebf,occupancy_pct,sec,fen
1840,10,867423,3.9249,99.999,0.369,2rr3k/3n1pp1/1p1qp2p/p6n/P1PPB3/5P1P/1BQ2P2/4RRK1 w - - 4 22
1845,10,329278,3.5625,99.999,0.11,3r3k/2rn2p1/1p1qp2p/p4p1n/P1PP4/3B1P1P/1BQ2P2/4RRK1 b - - 1 24
1850,10,1671591,4.191,99.9991,0.718,5nrk/2r3p1/1p1qp2p/p4p2/P1PP1n1P/3B1P2/1B1Q1P2/4RRK1 w - - 3 27
1855,10,264198,3.4849,99.9991,0.105,5nrk/6p1/1p2p2p/p1rPRp2/P1P2n1P/3B1P2/3Q1P2/5RK1 b - - 0 29
1860,10,642515,3.8088,99.9991,0.273,2r4k/6p1/1p2P1np/p1r2p2/P1P4P/3B1P2/3Q1P2/5RK1 w - - 1 32
1865,10,367190,3.6015,99.9991,0.158,3r3k/4n1p1/1p2P2p/p1r2p1P/P1P4Q/3B1P2/5P2/5RK1 b - - 4 34
1870,10,341135,3.5751,99.9991,0.133,4r2k/4n1p1/1Qr1P2p/p4p1P/P1P5/3B1P2/5P2/5RK1 w - - 1 37
1875,10,586009,3.7739,99.9991,0.243,2r4k/2r1n1p1/4P2p/Q4p1P/P1P5/3B1P2/5P2/4R1K1 b - - 0 39
1880,10,169811,3.3342,99.9991,0.063,2r3k1/2r1n1p1/4P2p/5p1P/P1P2Q2/3B1P2/5P2/4R1K1 w - - 5 42
1885,10,779428,3.8831,99.9992,0.332,2r3k1/r3n3/3QP1Pp/P4p2/2P5/3B1P2/5P2/4R1K1 b - - 0 44
1890,10,626581,3.7992,99.9992,0.253,4r1k1/4n3/r3P1Pp/P1Q2B2/2P5/5P2/5P2/4R1K1 w - - 1 47
1895,10,24,1.3741,99.9992,0.0,4r3/4n1kQ/r3P1P1/P7/2P1B3/5P2/5P2/4R1K1 b - - 2 49
1900,10,8021576,4.9026,99.9995,2.799,4r3/1B2nQ2/r2kP1P1/P7/2P5/5P2/5P2/4R1K1 w - - 7 52
1905,10,9447296,4.9835,99.9996,3.336,4r3/1B2n3/r3P1P1/P7/1kPQ4/5P2/5P2/4R1K1 b - - 12 54
1910,10,739910,3.8629,99.9997,0.319,r1bqk2r/2p1bppp/p2p1n2/np2p3/4P3/1B3N1P/PPPP1PP1/RNBQR1K1 w kq - 1 9
1915,10,1321526,4.0936,99.9997,0.569,r2q1rk1/1bp1bppp/p2p1n2/np2p3/4P3/1BNPBN1P/PPP2PP1/R2QR1K1 b - - 4 11
1920,10,512602,3.7237,99.9997,0.219,2rq1rk1/1bp1bpp1/p2p1n1p/1p2p3/4P1P1/1nNPBN1P/PPPQ1P2/R3R1K1 w - - 0 14
1925,10,224858,3.4292,99.9997,0.101,2rq1rk1/1bp1bpp1/p4n1p/3Pp3/1p2N1P1/1P1PBN1P/1PPQ1P2/R3R1K1 b - - 1 16
1930,10,320554,3.553,99.9997,0.129,2r2rk1/1bp2pp1/p3qn1p/2b1p3/1pP3P1/1P1PBN1P/1P1Q1P2/R3R1K1 w - - 0 19
1935,10,676079,3.8282,99.9997,0.278,2r1r1k1/1bp2pp1/p1q2n1p/4p3/1BP3P1/1P1PQN1P/1P3P2/R3R1K1 b - - 0 21
1940,10,446515,3.6727,99.9997,0.183,2r1r1k1/2p2ppn/R6p/4p3/1BP3P1/1P1P1b1P/1P3P2/4R1K1 w - - 1 24
1945,10,627404,3.7997,99.9997,0.266,2r1r1k1/2p2pp1/R6p/4p1n1/2P3P1/1PBPR2P/1P3P1K/3b4 b - - 6 26
1950,10,350691,3.585,99.9997,0.14,2rr2k1/2p3p1/R4p1p/2P1p1n1/1P4P1/2BPR2P/1Pb2P1K/8 w - - 1 29
1955,10,644514,3.81,99.9997,0.264,2rr2k1/R1p2np1/5p1p/2P1p3/1P4PP/1PBbR3/5P1K/8 b - - 0 31
1960,10,349416,3.5837,99.9997,0.139,2rr2k1/R1p3p1/7p/2P1p3/1P2p1PP/1P1bR1K1/5P2/8 w - - 0 34
1965,10,247580,3.4624,99.9997,0.099,2r3k1/R1p3p1/7p/1bP1p3/6PP/1P1rR1K1/5P2/8 b - - 2 36
1970,10,330065,3.5634,99.9998,0.131,2r3k1/R1p3p1/2b4p/2P4P/1P2p1P1/4R1K1/5P2/3r4 w - - 1 39
1975,10,383954,3.6177,99.9998,0.153,2r3k1/2p3p1/R1b4p/2P4P/1P2p1P1/4R1K1/5P2/1r6 b - - 6 41
1980,10,120930,3.2229,99.9998,0.049,5rk1/R1p3p1/7p/2Pb3P/1P2p1P1/4R1K1/5P2/6r1 w - - 11 44
1985,10,1377229,4.1106,99.9998,0.527,6k1/2R3p1/7p/2Pb3P/1P2p1r1/4R2K/5r2/8 b - - 1 46
